Protein,AbsoluteMoleFraction
PN96_RS10965,5.4124965171998305
PN96_RS03490,0.8904902446392075
PN96_RS02380,3.487132509582888
PN96_RS14960,0.5419421962138163
PN96_RS20755,1.1792733082027407
PN96_RS09410,1.7448100702352187
PN96_RS12890,18.034052777149782
PN96_RS13755,12.283390001559447
PN96_RS20885,10.320970174547925
PN96_RS00570,4.260377802568055
PN96_RS02155,14.166088865790382
PN96_RS08465,35.14788841055365
PN96_RS01795,1.3823956303015343
PN96_RS07890,4.141321691790946
PN96_RS12490,7.330796320487796
PN96_RS02050,0.43478965451394347
PN96_RS03300,0.3743893253699848
PN96_RS00515,1.0506935907107426
PN96_RS03970,0.03850684889166116
PN96_RS13605,3.327255631451984
PN96_RS11310,0.40679430591419563
PN96_RS01365,130.7953391507673
PN96_RS04245,33.03140234978957
PN96_RS09825,0.6116636715143098
PN96_RS13770,2.5723552969306795
PN96_RS05840,0.33706758887917737
PN96_RS00150,0.2685578730907598
PN96_RS11985,18.7612451825444
PN96_RS09380,10.49662355168606
PN96_RS10730,0.08815723067921714
PN96_RS23400,1.6944190595761255
PN96_RS00590,0.2207106665487668
PN96_RS11195,6.390290003039149
PN96_RS08050,15.560855591661765
PN96_RS00840,1.3411286082768814
PN96_RS12630,0.7859805955843339
PN96_RS14635,12.528279394849116
PN96_RS03950,2.8755884281930664
PN96_RS02880,5.982676326948452
PN96_RS01390,1.7332945195933098
PN96_RS16775,0.26227693867307017
PN96_RS02360,1.7076694138863802
PN96_RS11330,0.9159004872630744
PN96_RS05825,0.18468506883446031
PN96_RS19840,74.4553963565892
PN96_RS05945,0.6006835768348643
PN96_RS07785,1.4463043212409281
PN96_RS07395,2.872322051514887
PN96_RS09495,28.468412314139307
PN96_RS12625,0.6861652840038435
PN96_RS09435,14.002630992480572
PN96_RS10570,4.237697467947024
PN96_RS03080,10.599235695108499
PN96_RS00920,25.740653619665935
PN96_RS03555,28.698018676118
PN96_RS10220,2.4445490549590807
PN96_RS13590,117.49547143234759
PN96_RS15020,2.7171516318379036
PN96_RS01780,0.745354115454951
PN96_RS14615,2.53068012650493
PN96_RS12475,0.10675935898578916
PN96_RS21135,3.263687406650369
PN96_RS13620,0.11930157895757143
PN96_RS02355,13.823166007017855
PN96_RS07950,33.38682214454148
PN96_RS01105,8.027624308645297
PN96_RS11910,15.260679675499228
PN96_RS02310,6.93556919946846
PN96_RS11445,2.016066658688057
PN96_RS14395,24.045769388047198
PN96_RS03690,0.4757342431726842
PN96_RS07515,0.5951642996828699
PN96_RS01130,1.7906343678981338
PN96_RS11755,35.11353120323133
PN96_RS14435,1.180286659298461
PN96_RS09405,124.83902327907818
PN96_RS10330,22.580096228328962
PN96_RS03410,5.334574240064335
PN96_RS11905,23.740697298187882
PN96_RS13650,14.647254354167014
