Condition,RID,Kapp,Rep
Acetate,15469,2.0011100305811147,111
Acetate,oad,101.0929811751215,111
Acetate,11224,0.1989126494410592,111
Acetate,22812,271.8717449472423,111
Acetate,16429,1.531209338004358,111
Acetate,15101,4.849323720922192,111
Acetate,27738,164.3068595720327,111
Acetate,17453,13.658745853102271,111
Acetate,11724,6.750356851263306,111
Acetate,41864,510.2481430395887,111
Acetate,28034,1476.4862129846917,111
Acetate,18321,14.499050454022289,111
Acetate,21256,7.391224575813575,111
Acetate,26522,636.8418794886769,111
Acetate,19497,116.26759827767323,111
Acetate,24292,24.244808949926142,111
Acetate,27654,94.26005816798913,111
Acetate,22144,1176.9325710241246,111
Acetate,12821,12.68253204260616,111
Acetate,21096,9224.600105936333,111
Acetate,13517,12.844312639733532,111
Acetate,28042,721.876143485795,111
Acetate,41928,130.41563514652285,111
Acetate,12172,308.9011823541464,111
Acetate,13193,43.963601489607065,111
Acetate,11680,16.922073146680365,111
Acetate,19481,45.29818228192415,111
Acetate,23920,503.94095723839337,111
Acetate,14801,12.016248405710192,111
Acetate,18681,2.8676173079916114,111
Acetate,17661,218.557626285741,111
Acetate,13925,7.305652181248609,111
Acetate,11816,165.10399964530615,111
Acetate,16597,22.20164612933707,111
Acetate,27551,89.03416129857753,111
Acetate,13897,176.97444855173669,111
Acetate,28442,4.759155508035234,111
Acetate,17089,10.446040667062974,111
Acetate,21432,267.43451408197893,111
Acetate,41848,478.08724309194696,111
Acetate,41884,61.51237190149831,111
Acetate,41820,74.7657951852042,111
Acetate,32715,98.18530049754924,111
Acetate,17325,8.260453090913131,111
Acetate,41804,6.328343613132728,111
Acetate,11768,0.7337372326422668,111
Acetate,42424,145.68401387759425,111
Acetate,21524,2.785139699418743,111
Acetate,31747,14.263374558741976,111
Acetate,23476,0.737476748633511,111
Acetate,23864,1048.0582528732562,111
Acetate,31139,581.133133305976,111
Acetate,17737,46.37453563848679,111
Acetate,H_ATPsynthase,1575.7078329545366,111
Acetate,24793,1.715465503315561,111
Acetate,41852,235.44410088921575,111
Acetate,18133,0.2954012112654676,111
Acetate,13233,173.31770931978824,111
Acetate,19541,4.36642474188392,111
Acetate,12605,30.31473257920351,111
Acetate,21020,34.147166825785455,111
Acetate,28362,2845.8262077344234,111
Acetate,18253,22538.651312789112,111
Acetate,22192,167.55469716286055,111
Acetate,20013,158.60726707165702,111
Acetate,33023,0.8911082461419221,111
Acetate,15753,4.314296323477541,111
Acetate,11064,35.84168761456048,111
Acetate,15757,619.8352775037266,111
Acetate,41860,25.360177181045522,111
Acetate,glycogen_synthase,14.501605529191439,111
Acetate,cyt_bc1,2710.643456162781,111
Acetate,41920,1300.8369404777204,111
Acetate,12080,12.469863865172194,111
Acetate,11364,692.0344702296529,111
Acetate,15985,7275.373888622575,111
Acetate,35331,298.9176997553412,111
Acetate,13869,3.163071953291594,111
Acetate,30187,23.164619802376507,111
Acetate,21540,16.053486554349085,111
Acetate,22408,1.5114691592263734,111
Acetate,24296,91.15777743012528,111
Acetate,33803,102.2438065109844,111
Acetate,41856,93.4241035339571,111
Acetate,28438,1.1111972442400724,111
Acetate,28030,78.9387137863119,111
Acetate,14329,133.9057197737276,111
Acetate,22608,95.5936031251997,111
Acetate,23288,3.64157631161456,111
Acetate,18405,5310.543674219958,111
Acetate,41832,460.5196572338664,111
Acetate,43604,13.662630157394199,111
Acetate,10532,0.3230760553123936,111
Acetate,41836,74.61682950726865,111
Acetate,10300,34.51483854063372,111
Acetate,41924,165.90108598145895,111
Acetate,11600,11.282540675228047,111
Acetate,41900,46.502486139318464,111
Acetate,28066,4.446113883919457,111
Acetate,38215,9131.842753514149,111
Acetate,24400,57.16825652459975,111
Acetate,21648,12.31004490888882,111
Acetate,41904,684.7202632010653,111
Acetate,29379,23.92329856064978,111
Acetate,19597,159.28195521715816,111
Acetate,20049,1362.3453515862714,111
Acetate,20956,6.55366674805408,111
Acetate,28038,236.29378462396016,111
Acetate,12104,144.4800296067745,111
Acetate,21732,0.7610706008234831,111
Acetate,13121,31.89506025195029,111
Acetate,14465,2.6712684889052047,111
Acetate,10892,400.9456050439056,111
Acetate,27658,141.76494533741163,111
Acetate,18585,4775.100769577434,111
Acetate,23744,0.6626807265524456,111
Acetate,14829,0.10000000000000007,111
Acetate,30791,1.2791293858359463,111
Acetate,27826,14.250876030981628,111
Acetate,20345,5.553103624834146,111
Acetate,15609,206.84540374793912,111
Acetate,24152,15.07694979859288,111
Acetate,14657,168.43425429121856,111
Acetate,13245,19847.287316644928,111
Acetate,16853,7.321560131863345,111
Acetate,23424,5.541767047280798,111
Acetate,41828,493.3986265951992,111
Acetate,20780,296.1164652149413,111
Acetate,28370,179.63119811128956,111
Acetate,23536,1.871739342407311,111
Acetate,10228,301.2593301198762,111
Acetate,20249,4.825373049374822,111
Acetate,28582,159.60408307979358,111
Acetate,16845,4924.8608731066615,111
Acetate,19361,52.53670035494926,111
Acetate,12120,11.89110910432383,111
Acetate,nqr,1561.5890986765514,111
Acetate,11596,430.69447336398343,111
Acetate,27690,62.283007305306974,111
Acetate,22828,0.7280020841536521,111
Acetate,21968,17.079670864710007,111
Acetate,21620,9.113753847968667,111
Acetate,13677,527.8304750693409,111
Acetate,34171,1.2084566448434324,111
Acetate,14905,42.896484852342326,111
Acetate,31227,6.3708668867175495,111
Acetate,10116,1517.6221758974184,111
Acetate,24813,121.22309244181122,111
Acetate,rnf,25.28876528969359,111
Acetate,18793,76.39784513949415,111
Acetate,31755,28.05922460236027,111
Acetate,16169,201.98225616504033,111
Acetate,22332,161.73919195878827,111
Acetate,10040,14.656217441906442,111
Acetate,18181,17070.746780621004,111
Acetate,17277,104.54285197073764,111
Acetate,41824,3117.810680456137,111
Acetate,41876,29.205331044126492,111
Acetate,25237,33.965919243119146,111
Acetate,28026,214.82746546761553,111
Acetate,11040,589.6195954302842,111
Acetate,17941,900.9920095091128,111
Acetate,14729,22.26726251335848,111
Acetate,28062,178.03402220985708,111
Acetate,41916,13.140746415471973,111
Acetate,40523,140.32707386472768,111
Acetate,13493,39.15918749170705,111
Acetate,cyt_c,6550.922025940457,111
Acetate,30699,7.6963162051123835,111
Acetate,24801,2438.487383343578,111
Acetate,12556,13.121115997408625,111
Acetate,14053,7.209582766205804,111
Acetate,41812,530.5649288182949,111
Acetate,11960,10.508629235524788,111
Acetate,25588,787.8023655685239,111
Acetate,33799,11.071167394629835,111
Acetate,27682,107.6887510010181,111
Acetate,24576,2961.6434687436163,111
Acetate,10152,1337.867436110149,111
Acetate,41880,552.9686000162303,111
Acetate,13509,23.4180241524775,111
Acetate,64820,14.782550920436728,111
Acetate,18445,2.7765145231847015,111
Acetate,11708,7.979893626941659,111
Acetate,24825,39.20104245447189,111
Acetate,19833,217.37667966396256,111
Acetate,21208,236.07797952459856,111
Acetate,34799,25.193099857897046,111
Acetate,13429,78.78968076872086,111
Acetate,18473,8.819533278553697,111
Acetate,23700,199.94577532240945,111
Acetate,27786,722.1884793049558,111
Acetate,28054,460.04603102894305,111
Acetate,12248,1.2160712337058082,111
Acetate,17053,24.970267439316153,111
Acetate,27686,790.8390071784094,111
