Reaction,Flux
BIOMASS,1.216506030535624
oad,7.620376971320706
11364,5.497066582566111
18617,1.126311172434793
17277,0.0816531255226458
18181,0.6691246843122345
18585,1.572475166774853
27786,5.658444534978103
14729,-1.572475166774874
15901,5.89469064271008
17053,-0.2731117030244112
EX_29806,0.5218435634654534
14657,-1.088158545144938
13245,0.6691246843121885
40523,30.26824692832932
28042,11.76290363012529
12556,0.2902656122519431
15841,0.2902656122519431
10228,7.727767660436846
14801,3.770701563952766
11352,0.5084995207638959
16845,7.727767660436828
10300,-3.770701563952766
10164,-5.89469064271008
25588,7.05864297612461
17661,-5.214419833832638
18253,11.97392109249182
EX_30031,-23.94067770903897
13677,-0.8795460584156203
11816,-0.6065571801912313
10116,0.2086124867292973
12460,-30.1247367403605
11064,1.572475166774874
21432,18.81994033218083
17089,0.08165312552264584
19521,-0.5084995207638959
