Reaction,Flux
BIOMASS,1.001624848136
oad,-5.396481896246669
18617,0.9493599207563258
EX_47013,-18.59179051813843
17277,1.832603340639405
18181,1.376177991765259
18585,2.057661108939742
27786,4.131800055420907
14729,-2.057661108939776
15901,-12.96143867361546
17053,17.3644922566416
40523,5.507978047185924
14657,0.1064800564327157
13245,1.376177991765362
28042,10.83635749426014
12556,36.18066258910065
15841,36.18066258910065
10228,6.66084824739048
14801,-14.72419330861695
11352,0.4186791865208436
16845,6.660848247390526
10300,14.72419330861695
10164,12.96143867361546
25588,5.284670255625421
17661,-3.766206985851237
18253,3.078637687927063
13677,34.45453930489391
11816,-36.44108504961599
10116,34.34805924846124
12460,-5.819483374956237
11064,2.057661108939755
21432,4.117023678794688
17089,1.832603340639406
19521,-0.4186791865208436
18157,-13.31082531033839
