Protein,AbsoluteMoleFraction
PN96_RS10965,6.450019706280568
PN96_RS14070,16.623377058800738
PN96_RS02380,2.7439947622490997
PN96_RS14960,0.5901248774375739
PN96_RS20755,0.9434702433461565
PN96_RS09410,3.811958057915585
PN96_RS07435,0.8598956668437451
PN96_RS13755,10.233940081367413
PN96_RS20885,12.716390073322502
PN96_RS00570,12.079309314376747
PN96_RS02155,16.87861369915916
PN96_RS08465,31.351672255860723
PN96_RS01795,1.4508464443730595
PN96_RS07890,1.5892537997045733
PN96_RS12490,7.120879588005265
PN96_RS02050,0.2400654841091741
PN96_RS03300,0.3298713512462005
PN96_RS00515,1.567374461616518
PN96_RS03970,0.14566652670740585
PN96_RS13605,3.397338188918904
PN96_RS11310,0.38546647570274273
PN96_RS01365,56.2132120586457
PN96_RS04245,35.3795432117621
PN96_RS13770,1.617135578593045
PN96_RS05840,0.32248166864203726
PN96_RS00150,0.4442233451939911
PN96_RS05100,0.4288614031897528
PN96_RS22505,3.880066561001337
PN96_RS13470,0.49701074015821184
PN96_RS09380,10.819046410710472
PN96_RS10730,26.97238974531646
PN96_RS21755,1.1697207602178412
PN96_RS23400,1.952353072948971
PN96_RS00590,0.1834290361873599
PN96_RS11985,25.832248083481648
PN96_RS11195,4.278833664405309
PN96_RS00840,1.5930134925417987
PN96_RS12630,1.369424858237547
PN96_RS14635,9.749892971136951
PN96_RS08050,3.2743410855740107
PN96_RS03950,3.101745856186647
PN96_RS11815,0.01953571797284682
PN96_RS02880,4.954297210940455
PN96_RS01390,1.650402347916253
PN96_RS16775,0.2701980767555072
PN96_RS02360,2.037576521491099
PN96_RS23215,3.9572827088363414
PN96_RS11330,0.6992618114584782
PN96_RS05825,0.14734030167626103
PN96_RS19840,87.41364332581273
PN96_RS05945,1.0210468245926143
PN96_RS09495,12.407219645385258
PN96_RS07395,3.525058719505854
PN96_RS12625,0.7482410790579761
PN96_RS09435,18.70486929134895
PN96_RS10570,3.6641705267006426
PN96_RS03080,8.817534261046333
PN96_RS00920,28.49621806127584
PN96_RS16020,0.5371204044456654
PN96_RS03555,23.459872551893323
PN96_RS18645,0.2759911982310655
PN96_RS10220,2.3342281510657337
PN96_RS05435,9.987894417790676
PN96_RS05430,3.7046742294986585
PN96_RS13590,107.21102124116273
PN96_RS15020,1.37084783118945
PN96_RS14615,3.147937688524157
PN96_RS12475,0.19289172210296468
PN96_RS21135,5.153696530454744
PN96_RS13620,1.0651115570294345
PN96_RS02355,9.50397162341347
PN96_RS07950,36.060181572418664
PN96_RS01105,10.55120480850726
PN96_RS11910,36.57741816485147
PN96_RS02310,8.067204545062282
PN96_RS11445,2.2988075696716788
PN96_RS14395,21.331864078920223
PN96_RS03690,0.7055472344520803
PN96_RS07515,0.2686234628663303
PN96_RS11755,16.758211515936672
PN96_RS14435,0.7141124781736383
PN96_RS09405,269.9925863100512
PN96_RS10330,19.8786302458011
PN96_RS03410,2.917692237782596
PN96_RS11905,30.20014138181549
PN96_RS13650,11.036919392398566
PN96_RS01370,7.4286785809469436
PN96_RS09630,173.88547055444195
PN96_RS11440,20.792269304355987
PN96_RS08610,0.017715756270897467
PN96_RS09390,33.25979963040262
PN96_RS12525,2.0424433838367624
PN96_RS03075,0.22621785735472041
PN96_RS00555,0.6124213512334786
PN96_RS09240,6.060067061124148
PN96_RS07905,0.7563972312534233
PN96_RS08275,1.0379899198680196
PN96_RS09870,5.362457447409673
PN96_RS08600,1.2285185112052117
PN96_RS03415,0.47294126369100226
PN96_RS05370,33.77357754243329
PN96_RS13570,2.5538214218942272
PN96_RS11770,32.01855027650379
PN96_RS18400,4.7036885077501
PN96_RS11245,25.79425789106834
PN96_RS15085,0.3178427380779857
PN96_RS13750,4.288375775417481
PN96_RS15005,2.402615207482936
PN96_RS00925,21.12024225240442
PN96_RS03965,8.239082132733648
PN96_RS03565,8.764407212943816
PN96_RS09315,3.0756825570419006
PN96_RS13645,0.4278406122448995
PN96_RS02330,1.0410021259743854
PN96_RS07895,12.647995917398948
PN96_RS12815,1.0544018938220512
PN96_RS01650,2.1808675865789624
PN96_RS10265,8.030554257693618
PN96_RS02460,1.5497760637446494
PN96_RS05685,2.287040000559388
PN96_RS00955,2.3120452603542128
PN96_RS09395,22.829743887360344
PN96_RS07885,2.0862793044741967
PN96_RS00585,1.5200812324897128
PN96_RS20655,0.49902354501564655
PN96_RS05425,2.2240581320916974
PN96_RS09420,15.67875773162586
PN96_RS13595,37.161264381221244
PN96_RS14820,13.075687405289973
PN96_RS02150,23.92382971871726
PN96_RS03580,0.47981487015065305
PN96_RS08410,4.382295448929947
PN96_RS14405,0.0408952888512798
PN96_RS08425,5.619166634825193
PN96_RS03955,15.68085047292606
PN96_RS11250,13.144666471744102
PN96_RS05365,4.466783416988531
PN96_RS22760,7.197857956298305
PN96_RS03545,4.574034265906414
PN96_RS11205,10.967122603767198
PN96_RS07445,3.3923864267931174
PN96_RS01115,0.6116571934337971
PN96_RS09400,16.395394993639293
PN96_RS11765,16.765558981292408
PN96_RS02970,16.31839707957854
PN96_RS23260,3.3804964987305595
PN96_RS03665,3.863500776002878
PN96_RS11760,18.411946627884934
PN96_RS05935,0.2868359519462141
PN96_RS11365,1.3522042993151748
PN96_RS13585,2.770446785508146
PN96_RS10615,1.659482594041433
PN96_RS00180,27.893671008453108
PN96_RS14285,0.9189429093825064
PN96_RS01460,142.19297965923138
PN96_RS11990,43.70980818541396
PN96_RS12250,0.05000491690177288
PN96_RS07880,2.6493276205655927
PN96_RS11715,1.5976369028449509
PN96_RS07425,15.052672560806993
PN96_RS02145,28.70401891990601
PN96_RS02000,15.78855568036859
PN96_RS05150,2.964057795024676
PN96_RS04120,5.806354318580193
PN96_RS09385,100.34946326360765
PN96_RS02955,0.9830920535844305
PN96_RS07375,1.7583316131921738
PN96_RS08560,8.30319978706267
PN96_RS03220,13.773076398012906
PN96_RS03550,2.86981562832539
PN96_RS14775,19.65129939043282
PN96_RS00050,1.7214716309678961
PN96_RS01235,0.5970845520423859
PN96_RS11975,0.6208030449600477
PN96_RS11200,8.104339212063078
PN96_RS01375,26.15847150603618
PN96_RS02525,41.891599898915196
PN96_RS02320,0.09137511913647843
PN96_RS16595,0.18636171161631146
PN96_RS21240,5.3811248168837675
PN96_RS14980,4.003591690538613
PN96_RS12930,10.97305133975648
PN96_RS12730,1.2678047650782625
PN96_RS11065,0.07058563971153337
PN96_RS14985,16.03121564088209
PN96_RS02170,11.341596772283035
PN96_RS14995,5.9666431229981605
PN96_RS00950,2.962870816131484
PN96_RS13230,0.5450192801484448
PN96_RS22110,0.04929896059365623
PN96_RS09830,2.0005665854342296
PN96_RS11855,245.16081164909625
PN96_RS21230,13.680186532642963
PN96_RS12220,4.3956973251226445
PN96_RS09865,0.7517795097286154
PN96_RS02465,0.1891685359283169
PN96_RS02160,0.9704402205683016
PN96_RS07900,0.6464380254221591
PN96_RS10960,4.490999639220663
PN96_RS13580,24.333826547563163
PN96_RS11355,0.3526937419984749
PN96_RS03320,0.11536565347511685
PN96_RS15165,6.102898290633459
PN96_RS01240,23.380452660306506
PN96_RS13600,174.4336796275168
PN96_RS17995,35.484814989344436
PN96_RS20950,0.9856297061159418
PN96_RS10630,22.210877109735016
PN96_RS11375,0.8741537681586566
PN96_RS21805,2.160021749846518
PN96_RS10090,38.58388646837685
PN96_RS00265,5.577969930348263
PN96_RS10575,12.670540669204287
PN96_RS02350,0.15268778656437026
PN96_RS09415,1.3079994261804597
PN96_RS18415,2.1080184231480397
PN96_RS11255,7.392113840347557
PN96_RS21250,4.632875742683731
PN96_RS02545,0.884912734630887
PN96_RS03310,1.0080799368952424
PN96_RS00270,10.666964076500518
PN96_RS03960,4.266429409525855
PN96_RS15175,6.945573932177512
PN96_RS11450,7.1462865791787396
PN96_RS07875,2.5053807482010275
PN96_RS15765,3.5758976917884913
PN96_RS15010,8.456204533002744
PN96_RS10215,1.9668903274323306
PN96_RS09515,63.646777628289094
PN96_RS12535,0.4677186475664876
PN96_RS13345,36.79276023460484
PN96_RS05360,2.709435163469257
PN96_RS04115,1.2662334598580625
PN96_RS07490,1.343180787085607
PN96_RS05720,4.149924538973134
PN96_RS10930,1.4130721505949966
PN96_RS07870,6.2530544645319805
PN96_RS10515,5.147955550236544
PN96_RS15065,1.2821039029681385
PN96_RS11010,6.597199813495635
PN96_RS14075,2.23678516591141
PN96_RS11380,0.7897375095974093
PN96_RS03975,9.238284767091013
PN96_RS15170,12.738932223100628
PN96_RS19315,0.2758162483048298
PN96_RS04300,5.547123474802214
PN96_RS21965,3.8666634958432695
PN96_RS17695,13.02804110961453
PN96_RS11720,12.507023298603139
PN96_RS10270,0.397277192757306
PN96_RS18410,38.21044733147674
PN96_RS05830,4.424828002146472
PN96_RS12480,0.6305494368263204
PN96_RS15000,0.4013206893555302
PN96_RS11350,0.5372496811418868
PN96_RS15130,0.5387808727751745
PN96_RS11260,1.3337508846597514
PN96_RS05820,0.6843037911596442
PN96_RS08405,1.9041834178146322
PN96_RS02990,6.585681215249218
PN96_RS02365,0.27036654857219966
PN96_RS03315,0.05639034054034317
PN96_RS13610,1.9385524437191162
PN96_RS01095,0.14785499721422693
PN96_RS05440,3.6131427253548236
PN96_RS09035,1.836927447474831
PN96_RS10725,227.59383811166654
PN96_RS21300,20.587852517396428
PN96_RS13640,0.7223645516326487
PN96_RS18175,75.3008079133857
PN96_RS00175,4.741171632530056
PN96_RS15070,1.676316597597984
PN96_RS07430,0.3010654922927316
PN96_RS01100,4.598833474134991
PN96_RS00575,12.733650068282289
