Reaction,Flux
BIOMASS,1.711978697120142
oad,0.2499734720965243
16109,18.06190818813993
17277,0.3429880540495738
18181,0.05238169790683478
18585,-18.06190818813993
27786,1.84646842658029
14729,18.06190818813984
15901,-33.59875184759401
17053,0.739603303174468
40523,1.717771258445087
14657,-2.655307465251879
PTS_15903,21.62686865618817
13245,0.05238169790674974
28042,24.66355013955667
12556,4.008419962639509
EX_30089,15.99005641011373
28370,-5.378793685782656
15841,4.008419962639509
10228,3.869337604872361
14801,-36.59523133863194
11352,-15.27444931471751
16845,3.869337604872379
10300,36.59523133863194
10164,33.59875184759401
25588,3.816955906965568
17661,-1.221596202131411
18253,0.2760953836546882
EX_30031,0.1810788660419689
13677,1.010124443337994
11816,17.17333423229732
EX_15903,-21.62686865618813
10116,3.665431908589891
12460,-2.250196633249479
21432,2.026482947501481
17089,0.3429880540495734
19521,15.27444931471751
18157,-5.56761426604825
