Protein,AbsoluteMoleFraction
PN96_RS10965,4.6078306613962825
PN96_RS02380,3.771113149076824
PN96_RS14960,0.5934110240844043
PN96_RS20755,1.630324362840622
PN96_RS09410,1.2160958403237025
PN96_RS12890,19.57435730652777
PN96_RS13755,11.087619483036804
PN96_RS20885,12.210089795415938
PN96_RS00570,2.7736297271787516
PN96_RS02155,11.33985973151177
PN96_RS08465,25.548382005501818
PN96_RS01795,1.5762526369268137
PN96_RS07890,4.324169505425412
PN96_RS12490,6.070455476672084
PN96_RS02050,0.24200125463491512
PN96_RS03300,0.355672167153507
PN96_RS00515,1.5842401179673398
PN96_RS03970,0.1248762426899012
PN96_RS13605,2.6091910141697676
PN96_RS11310,0.6131170061032527
PN96_RS01365,56.93643552607077
PN96_RS04245,36.04248723577531
PN96_RS09825,0.9254805279103042
PN96_RS13770,2.299631199665112
PN96_RS05840,0.1589904786307398
PN96_RS00150,0.5005794220104898
PN96_RS05100,0.46544847436628695
PN96_RS22505,4.35253892663396
PN96_RS21755,0.8522407421911009
PN96_RS09380,7.748622526578427
PN96_RS10730,0.14299694268032548
PN96_RS18905,2.523655218982841
PN96_RS23400,1.2618422321424971
PN96_RS00590,0.18065175769634872
PN96_RS11985,25.201719314648162
PN96_RS11195,8.441637190587786
PN96_RS00840,1.7769998006241918
PN96_RS12630,0.6253579922970975
PN96_RS14635,25.383163794914104
PN96_RS08050,1.086615059225035
PN96_RS03950,3.431596554241768
PN96_RS11815,0.03823728814478783
PN96_RS02880,6.270434401478628
PN96_RS01390,2.3169586633025006
PN96_RS16775,0.31536279566696124
PN96_RS02360,2.3066203316699236
PN96_RS23215,4.043699779869267
PN96_RS11330,1.3111171106302637
PN96_RS05825,0.06785698082091217
PN96_RS19840,109.01995713307363
PN96_RS05945,0.49589463159113
PN96_RS09495,18.978700024612635
PN96_RS12625,0.5895800165294248
PN96_RS00820,0.045018622815655024
PN96_RS09435,21.22417272801514
PN96_RS10570,3.192602019314831
PN96_RS03080,40.07075321278142
PN96_RS00920,41.86115393122488
PN96_RS16020,0.8864494223742077
PN96_RS03555,24.003411234264536
PN96_RS10220,1.748186450092309
PN96_RS05435,2.485713081668829
PN96_RS05430,0.9418163928648096
PN96_RS13590,81.41515062341797
PN96_RS15020,1.1483469548638003
PN96_RS01780,1.2920163432432454
PN96_RS14615,2.905060001111955
PN96_RS12475,0.19131062245275032
PN96_RS21135,5.671264939834914
PN96_RS13620,1.924053068139245
PN96_RS02355,9.696541661244733
PN96_RS07950,25.960235511418876
PN96_RS01105,14.103268562743333
PN96_RS11910,26.450720281387774
PN96_RS02310,6.601509168150804
PN96_RS11445,1.2317926633179554
PN96_RS14395,27.408693404670434
PN96_RS03690,0.26682278917477104
PN96_RS07515,0.3464705945243004
PN96_RS01130,1.6410248300066212
PN96_RS11755,38.251443804444264
PN96_RS14435,1.1676568925370978
PN96_RS09405,94.96998798994997
PN96_RS10330,17.088937915145873
PN96_RS11905,19.50098185369372
PN96_RS13650,14.470200287696766
PN96_RS01370,7.450753452897587
PN96_RS09630,175.24713718498418
PN96_RS11440,14.73850001107027
PN96_RS08610,0.023623425527396574
PN96_RS09390,23.094971592448672
PN96_RS12525,2.5295131718484094
PN96_RS19190,0.4946002623162146
PN96_RS00555,0.8387551046568791
PN96_RS03075,0.5614489627472229
PN96_RS09240,5.336213688362792
PN96_RS01770,5.066951740200827
PN96_RS07630,0.11425030100252656
PN96_RS07905,2.6025027517226254
PN96_RS09870,3.848867890843815
PN96_RS08600,1.296684455940452
PN96_RS05370,36.053579173281456
PN96_RS13570,2.748894240699238
PN96_RS11770,43.130346506186235
PN96_RS03630,0.9817114733465634
PN96_RS18400,4.131475745929724
PN96_RS11245,25.10101595280206
PN96_RS15085,0.2285684737214436
PN96_RS13750,3.873024554473335
PN96_RS15005,2.169063460383462
PN96_RS00925,20.13218496349463
PN96_RS03965,7.452200730481299
PN96_RS03565,11.532848876281026
PN96_RS09315,4.803837804660837
PN96_RS13645,0.5043406628038325
PN96_RS02330,1.3421775937102955
PN96_RS07895,35.6480857848361
PN96_RS12815,1.3095938182748332
PN96_RS07930,0.26032406592483615
PN96_RS01650,1.883181671965884
PN96_RS18960,3.1434259321215867
PN96_RS10265,11.687815285564549
PN96_RS02460,1.4741593371731978
PN96_RS05685,2.4852622127110258
PN96_RS00955,1.9334581006863938
PN96_RS09395,15.470761736931902
PN96_RS07885,6.209693239535877
PN96_RS00585,1.2151886641396197
PN96_RS20655,0.4503179356971016
PN96_RS05425,0.9730547167709062
PN96_RS09420,10.595586833846651
PN96_RS13595,29.177666327478747
PN96_RS14820,15.439503330952341
PN96_RS02150,17.775851693701902
PN96_RS03580,0.5082679574744045
PN96_RS08410,7.405683299296494
PN96_RS14405,0.04177067918023329
PN96_RS08425,7.256917178526048
PN96_RS17400,0.04500334145513472
PN96_RS03955,13.98111707969852
PN96_RS11250,12.520316662835798
PN96_RS05365,3.8685416458252986
PN96_RS15120,0.08264125068920584
PN96_RS03545,5.244998950654618
PN96_RS22760,3.169083036919215
PN96_RS18955,1.4700725806634787
PN96_RS11205,26.162273890547755
PN96_RS07445,5.578745326320148
PN96_RS01115,0.671119692216812
PN96_RS09400,5.0598325616498965
PN96_RS11765,25.164053312709125
PN96_RS02970,21.35154398368676
PN96_RS23260,0.9139530575909027
PN96_RS03665,2.8440560615178914
PN96_RS11760,34.109179472368325
PN96_RS05935,0.1991999650202235
PN96_RS11365,1.5718700105197645
PN96_RS13585,2.2245866600019037
PN96_RS10615,1.9378032540430115
PN96_RS00180,27.360671036305035
PN96_RS14285,0.6774324230626538
PN96_RS06400,1.6106038766409152
PN96_RS01460,41.072554767222094
PN96_RS11990,44.88042556049036
PN96_RS12250,0.09227373025418027
PN96_RS07880,5.743578086282461
PN96_RS11715,0.939545566311138
PN96_RS07425,17.349280174964527
PN96_RS02145,21.292641157232094
PN96_RS02000,16.857836871805187
PN96_RS05150,4.62608961500822
PN96_RS04120,6.596444899740679
PN96_RS01785,2.3235696753103605
PN96_RS09385,62.645901234446086
PN96_RS14410,10.983803970747482
PN96_RS07375,1.6006758584394885
PN96_RS08560,6.935846925597619
PN96_RS22530,0.29118531706516665
PN96_RS15460,2.2391916129040648
PN96_RS03220,23.07708344210822
PN96_RS14775,21.45541994047032
PN96_RS03550,3.2702735924645334
PN96_RS05095,0.738395236820253
PN96_RS00050,1.97954308051198
PN96_RS01235,0.1713161397119483
PN96_RS11975,0.5785028954467728
PN96_RS11200,25.906248406407308
PN96_RS01375,18.3647371636922
PN96_RS02525,52.99146144604021
PN96_RS18940,0.6424868665831175
PN96_RS18765,0.027492366821501316
PN96_RS02320,0.05397208891194323
PN96_RS16595,0.20230012940599512
PN96_RS21240,4.107736788996315
PN96_RS14980,5.384021296294982
PN96_RS12930,12.624015338243272
PN96_RS12730,1.2295071517888998
PN96_RS11065,0.04517246093152226
PN96_RS14985,25.481512742531766
PN96_RS02170,9.036522636630073
PN96_RS11710,5.895847962946898
PN96_RS00950,2.9703606861317216
PN96_RS13230,0.5458796599475505
PN96_RS22110,0.06444737343792657
PN96_RS09830,2.3377438724170467
PN96_RS11855,87.27556457169817
PN96_RS12220,2.704527894456393
PN96_RS09865,0.7436370178026498
PN96_RS02465,0.21470299244813582
PN96_RS02160,1.1598449324732025
PN96_RS07900,2.2986485442365368
PN96_RS10960,3.6099186886568484
PN96_RS13580,21.4996971632262
PN96_RS11355,0.7547717948686771
PN96_RS03320,0.12580466187051623
PN96_RS15165,5.606607878339597
PN96_RS01240,14.268670324557144
PN96_RS18920,0.24073149325061532
PN96_RS13600,134.0376491923327
PN96_RS17995,25.11345270642915
PN96_RS20950,0.6754249338392996
PN96_RS10630,12.64485769361107
PN96_RS11375,0.7196946083220305
PN96_RS18935,0.5776178522038065
PN96_RS10090,38.36051506580545
PN96_RS00265,7.088967112582515
PN96_RS10575,13.69861555859336
PN96_RS18930,0.39834863897327305
PN96_RS02350,0.36080201709471904
PN96_RS09415,0.45983459834435975
PN96_RS18415,1.3509468326056342
PN96_RS11255,8.527749496221704
PN96_RS02545,0.9590803598154116
PN96_RS03310,1.0574460638990468
PN96_RS00270,13.009722976381495
PN96_RS03960,3.872333282301575
PN96_RS15175,5.702997390075691
PN96_RS11450,4.54466105380475
PN96_RS07875,6.72830458474301
PN96_RS15010,8.984181129601053
PN96_RS10215,1.6374611280241789
PN96_RS09515,36.00655492333833
