Reaction,Flux
BIOMASS,0.7913966099127494
oad,5.024988824825535
11364,10.43957660580399
17277,0.1707057713152586
18181,0.1085549398870693
18585,5.53350704621643
27786,14.56696661142114
14729,-5.533507046216464
15901,8.359528316264095
17053,4.215276190527737
40523,14.6755215513082
14657,-5.100848997020075
13245,0.1085549398870831
28042,2.812455605509587
12556,13.48526447827467
28370,-1.606001720202151
15841,13.48526447827467
EX_29985,-15.10069103337906
10228,0.4857280159387081
14801,6.963560720328798
11352,0.3308037829435332
16845,0.4857280159386868
10300,-6.963560720328798
10164,-8.359528316264095
25588,0.3771730760516512
17661,-14.27810684880299
18253,9.62805128245948
13677,8.213709709939355
11816,-13.69102759685199
10116,13.31455870695941
12460,-14.92164589699107
11064,5.533507046216464
21432,5.402149554418664
17089,0.1707057713152587
19521,-0.3308037829435332
