Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
12641,A,PN96_RS00150,4,0.8133843427617049,12.8150012033992
13717,A,PN96_RS02330,2,0.17047150807310643,0.02389017070687445
14801,A,PN96_RS00920,1,124.73671760570207,157.6976085731537
13897,B,PN96_RS10960,1,0.22838444850862277,1.8531455132893824
13897,A,PN96_RS10930,2,1.4948782040572808,0.1678542863865689
nqr,A,PN96_RS02160,1,50.32665975764737,11.188829976759079
nqr,A,PN96_RS02150,1,50.32665975764737,11.188829976759079
nqr,A,PN96_RS02155,1,50.32665975764737,11.188829976759079
nqr,A,PN96_RS02170,1,50.32665975764737,11.188829976759079
nqr,A,PN96_RS02165,1,50.32665975764737,11.188829976759079
nqr,A,PN96_RS02145,1,50.32665975764737,11.188829976759079
21256,A,PN96_RS08425,1,2.1799059156137046,1.43457693861998
17089,B,PN96_RS16775,3,0.457166875668024,3.1734833101390874
17089,A,PN96_RS13230,3,8.804871485891196,6.401941566174662
10508,B,PN96_RS18410,1,0.0903160785567195,0.2884498307463412
12605,A,PN96_RS10220,2,0.15214003092931486,5.1745255765882385
17817,A,PN96_RS02350,3,0.947252740172209,3.8833525569562712
21540,A,PN96_RS03960,1,0.038386145239775786,0.26675292286569485
19513,A,PN96_RS00585,3,0.4249825489947279,0.4088145075988561
40523,A,PN96_RS09415,1,0.7911499199145299,1.07247906113639
40523,A,PN96_RS09405,1,0.7911499199145299,1.07247906113639
40523,A,PN96_RS09400,1,0.7911499199145299,1.07247906113639
40523,A,PN96_RS09410,1,0.7911499199145299,1.07247906113639
15469,A,PN96_RS07880,1,0.06734589593280499,2.186273134365786
21432,A,PN96_RS11855,2,17.582316743365215,2.361751286298276
12813,A,PN96_RS14285,1,0.5454113134640451,0.8033001660235617
11724,A,PN96_RS15175,2,0.008691160296968054,0.264946536725641
28370,A,PN96_RS14995,4,4.286539456961968,4.04914002622302
15901,A,PN96_RS14635,1,5.7919894715433795,34.05267158307698
41928,B,PN96_RS20950,1,0.4813612278184353,2.2493394292411155
41928,A,PN96_RS07515,1,0.4382961133103406,0.30683138928625525
41812,B,PN96_RS07515,1,0.5467606769842432,2.4257417938242956
41812,A,PN96_RS20950,1,0.5466424896726216,2.649095806936644
22992,B,PN96_RS16020,1,0.038598481168620184,0.5758885198060073
22992,C,PN96_RS19315,1,0.6635692789647452,0.021673212112682964
22992,D,PN96_RS21755,1,0.018403506541270015,0.31165574882430663
28438,A,PN96_RS12525,1,0.5500620413388192,0.10253929176946508
18049,A,PN96_RS14820,2,0.02428799245071207,0.03762109938228647
18133,B,PN96_RS12490,1,0.0428479493223942,0.14503047133773858
18133,B,PN96_RS11990,1,0.0428479493223942,0.14503047133773858
18133,A,PN96_RS12475,1,0.11254384589710136,0.24648729981167375
18133,A,PN96_RS11985,1,0.11254384589710136,0.24648729981167375
21732,A,PN96_RS03975,2,0.24035228974490289,1.0786920986304755
21732,A,PN96_RS03970,2,0.24035228974490289,1.0786920986304755
13925,A,PN96_RS02360,3,0.299823125069023,1.1267069520333535
20700,A,PN96_RS08610,1,0.09830127872443752,0.19780910541450641
16249,A,PN96_RS03075,2,20.42532121209939,237.74482392948144
11064,B,PN96_RS12220,2,1.2867903404771779,0.6407047449923788
11064,A,PN96_RS11905,4,0.9334022017301403,0.13092208668803185
H_ATPsynthase,A,PN96_RS13585,1,13.032188755763725,7.9035091542879465
H_ATPsynthase,A,PN96_RS13570,1,13.032188755763725,7.9035091542879465
H_ATPsynthase,A,PN96_RS13590,3,13.032188755763725,7.9035091542879465
H_ATPsynthase,A,PN96_RS13600,1,13.032188755763725,7.9035091542879465
H_ATPsynthase,A,PN96_RS13605,1,13.032188755763725,7.9035091542879465
H_ATPsynthase,A,PN96_RS13580,2,13.032188755763725,7.9035091542879465
H_ATPsynthase,A,PN96_RS13575,10,13.032188755763725,7.9035091542879465
H_ATPsynthase,A,PN96_RS13565,1,13.032188755763725,7.9035091542879465
H_ATPsynthase,A,PN96_RS13595,1,13.032188755763725,7.9035091542879465
16169,C,PN96_RS12930,12,1.2015277108587545,0.19178169776566503
24825,A,PN96_RS11010,2,0.07100058710690453,0.24385865234554466
41792,A,PN96_RS03550,1,1.0243427421087474,0.19793941792162548
10164,A,PN96_RS01105,2,62.46025266629414,76.02081130278458
cyt_c,B,PN96_RS05815,1,0.2397397085138261,0.3113005176067306
cyt_c,B,PN96_RS05830,1,0.2397397085138261,0.3113005176067306
cyt_c,B,PN96_RS05845,1,0.2397397085138261,0.3113005176067306
cyt_c,B,PN96_RS05820,1,0.2397397085138261,0.3113005176067306
cyt_c,B,PN96_RS05825,1,0.2397397085138261,0.3113005176067306
cyt_c,B,PN96_RS05840,1,0.2397397085138261,0.3113005176067306
24152,B,PN96_RS12480,1,3.287190003273473,0.05210721557989453
24152,A,PN96_RS11975,1,0.08524925779270734,0.06171408407476048
41876,B,PN96_RS05720,2,3.4640011693252917,0.25535892197850374
41876,A,PN96_RS02355,1,3.8851498869397094,0.35589826930268037
11040,A,PN96_RS07890,1,3.8296570409990913,0.14769053874854193
41920,B,PN96_RS17995,4,2.815836012151642,0.6037862374127422
41920,A,PN96_RS03555,4,4.538975128928656,1.4850504312776804
13725,A,PN96_RS13610,3,0.05326406538015062,1.608252455002971
41828,B,PN96_RS05720,2,2.9171982640746728,1.3939767703908021
41828,A,PN96_RS02355,1,4.360441581628251,4.843341627816684
14877,A,PN96_RS10270,4,0.21964792090172455,1.9548023542029846
10300,A,PN96_RS03080,4,2.6566568579803125,0.1818929577915094
10300,C,PN96_RS18175,4,5.5738808927720385,6.770110259854377
31139,A,PN96_RS13345,4,1.1077292954531766,1.8354198308832106
16853,A,PN96_RS07950,4,0.8819984245652531,0.6678848868120999
21524,A,PN96_RS11755,2,0.21317306861141147,0.30095439457293605
25588,A,PN96_RS08465,2,3.5964168617946357,0.38740397382821085
13245,A,PN96_RS10725,4,0.774198105506503,2.379038992177216
11224,A,PN96_RS20885,1,2.2843978140853505,0.04189324476018607
10228,A,PN96_RS01460,1,4.315131012755976,4.520266961240653
25152,A,PN96_RS04245,2,2.7877374543534743,18.620627974642062
16597,A,PN96_RS01100,4,0.0753083476068065,0.08183720647268715
41840,B,PN96_RS17995,4,2.7891457096184538,3.021107954936751
41840,A,PN96_RS03555,4,2.349095727482685,0.6360469840577045
25249,B,PN96_RS13645,2,0.06327718699798103,0.3458033784807076
25249,B,PN96_RS11720,2,0.06327718699798103,0.3458033784807076
25249,A,PN96_RS13645,2,0.01643546933949202,0.016785931310772013
25249,A,PN96_RS13650,2,0.01643546933949202,0.016785931310772013
25249,C,PN96_RS13650,2,0.3526008283434869,0.03726362540730157
25249,C,PN96_RS11715,2,0.3526008283434869,0.03726362540730157
25249,D,PN96_RS11715,2,0.02057951660732016,0.013301340597146518
25249,D,PN96_RS11720,2,0.02057951660732016,0.013301340597146518
28442,B,PN96_RS12625,1,0.04233334180726665,0.13514778485740986
19381,A,PN96_RS08465,2,1.913409714069979,0.9299727106117566
28054,A,PN96_RS08560,2,0.3567064070003828,0.39851631695853806
41888,B,PN96_RS17995,4,0.2206607207965532,2.855950965803745
41888,A,PN96_RS03555,4,4.781378258048258,1.081756866447759
33799,A,PN96_RS07900,2,0.0776317383524344,0.5214327573947469
10532,B,PN96_RS03955,2,0.1736504628677708,2.9149877312690786
10532,B,PN96_RS03950,2,0.1736504628677708,2.9149877312690786
10532,A,PN96_RS22760,2,0.09458387574845066,0.6081800903487897
10532,A,PN96_RS03950,2,0.09458387574845066,0.6081800903487897
21624,A,PN96_RS15765,2,0.7473797059479699,0.22183681784202955
23032,A,PN96_RS02465,2,0.29526007730092596,0.14476144462437954
41868,B,PN96_RS03565,2,0.19706499709115702,0.5421266948220833
12973,A,PN96_RS09515,1,0.38481420736911154,2.426400724522684
27551,A,PN96_RS02320,2,0.03619349107128596,0.03663658615098414
18437,A,PN96_RS09865,2,0.04179345318046296,0.04425673830622519
24809,A,PN96_RS13640,2,0.08698360507846709,0.5695113355123883
30699,A,PN96_RS05100,1,0.07753250773129555,3.3636962347938377
30699,C,PN96_RS22505,1,0.10782327518479916,0.125746862355226
30699,D,PN96_RS23215,1,1.0552010994179126,0.2725919290598006
28030,A,PN96_RS04115,2,0.2176136582874832,3.6005566172619266
28030,A,PN96_RS04120,2,0.2176136582874832,3.6005566172619266
24793,A,PN96_RS07885,1,1.4911405819767345,0.08414620223564859
24793,A,PN96_RS07875,1,1.4911405819767345,0.08414620223564859
41912,B,PN96_RS20950,1,2.335429645460832,3.1588770841041502
41912,A,PN96_RS07515,1,1.4162845989506339,0.35963255862656257
18681,A,PN96_RS00555,1,0.945385085450245,0.2926290773091884
13985,A,PN96_RS11200,1,0.2063822781373071,0.02285216320696834
10116,A,PN96_RS05370,2,6.83746739570295,0.888488457550022
11364,A,PN96_RS17695,2,0.1310357039863462,0.03790266529107926
14109,A,PN96_RS00840,1,5.8043249823399075,2.063813171462994
11708,A,PN96_RS10575,4,0.050073447052257546,1.1514406993385842
22828,A,PN96_RS07870,1,0.03075060488227316,0.04933768871214672
27786,B,PN96_RS01375,1,0.12585552452715215,0.42472300859806233
27786,B,PN96_RS09395,2,0.12585552452715215,0.42472300859806233
27786,B,PN96_RS09390,2,0.12585552452715215,0.42472300859806233
27786,A,PN96_RS22095,1,0.687986508589645,1.0309921184394393
27786,A,PN96_RS09395,2,0.687986508589645,1.0309921184394393
27786,A,PN96_RS09390,2,0.687986508589645,1.0309921184394393
41836,B,PN96_RS03565,2,0.06465298806455923,0.4485773579720662
43604,A,PN96_RS10615,1,0.12468075153772573,0.01671719068723818
14829,A,PN96_RS08935,2,8.40083074444716,0.46520387316792366
14829,A,PN96_RS09630,2,8.40083074444716,0.46520387316792366
27822,A,PN96_RS10515,1,0.9844003771513761,0.27907706337286997
20249,B,PN96_RS23260,1,0.4112072091803012,0.09358273298792165
23372,A,PN96_RS11350,1,0.4141678963100511,0.5761240406775795
23920,A,PN96_RS07950,4,1.1721693868245975,0.23410689524392428
15609,A,PN96_RS09870,6,0.08439592157152351,0.02041040831345656
13493,A,PN96_RS13345,4,0.2783538833524305,0.12818001395468176
41908,B,PN96_RS05720,2,2.26018012529427,0.6024438639961684
41908,A,PN96_RS02355,1,0.16346104475248543,0.4624522992544202
24813,A,PN96_RS21300,6,9.363364382831621,3.3189915764722158
41848,B,PN96_RS20950,1,0.44218682916160507,2.089918662425196
41848,A,PN96_RS07515,1,0.18721313184624808,0.24662675428188197
22812,A,PN96_RS09240,2,0.04178789115773505,0.02077244325043779
