Reaction,Flux
BIOMASS,0.6275334393031985
oad,-11.757798545429017
18617,13.536521756476644
17277,0.008056786560207918
18181,9.355705222599902
18585,0.793608160595062
27786,21.482414058118422
14729,-0.7936081605950625
15901,3.028515561107875
17053,-0.12437211295478123
40523,30.838119280718338
14657,-0.5778378056254958
13245,9.355705222599902
28042,2.986622128799382
12556,0.16520620390707091
EX_30089,-39.67644057104588
15841,0.16520620390707091
10228,31.560410269356296
14801,1.9275610854159266
16845,31.560410269356304
10300,-1.9275610854159266
10164,-3.028515561107875
25588,22.204705046756388
17661,-21.253364352772763
18253,5.850531632898184
13677,-0.4206883882786294
11816,-0.3283648981259025
10116,0.1571494173468615
12460,-31.033282180341626
11064,0.7936081605950625
21432,34.53845577004334
17089,0.008056786560209694
18157,-10.132113665226157
